HOG	OG	gene_tree_parent_clade	change_node_130	branch_p_node_130	category_node_130	expanded_node_130	significantly_expanded_node_130	contracted_node_130	significantly_contracted_node_130	change_node_131	branch_p_node_131	category_node_131	expanded_node_131	significantly_expanded_node_131	contracted_node_131	significantly_contracted_node_131	change_node_135	branch_p_node_135	category_node_135	expanded_node_135	significantly_expanded_node_135	contracted_node_135	significantly_contracted_node_135	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	n_max	n_min	n_mean	differential	discarded_nonconverged	tested_in_final_cafe_model	large_family_model_attempted	exclusion_detail	chemosensory_family_flag
N0.HOG0000602	OG0000450	n2	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	serine protease family	conservative keyword family rule	venom serine protease-like; venom serine protease; venom serine protease-like; venom serine protease	3	LOC127071696; LOC127067769; LOC127071024	LOC127071696; LOC127067769; LOC127071024	venom serine protease-like	NCBI: vv_genetable.csv	3	2	LOC107070493; LOC107070494	LOC107070493; LOC107070494	venom serine protease-like; venom serine protease	NCBI: pd_genetable.csv	2	2	ENSANRG00005003798; ENSANRG00005005971	CG14760; CG30371; CG30375; LOC107070493; LOC107070494; LOC127067769; LOC127071024; LOC127071696	venom serine protease-like; venom serine protease	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	2	6	1	1.76056338028169	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000607	OG0000454	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	transcription elongation factor SPT6-like / transcription elongation factor Spt6	weighted recurring annotation	transcription elongation factor SPT6-like; transcription elongation factor Spt6; transcription elongation factor Spt6; transcription elongation factor SPT6-like	2	LOC127062648; LOC127062342	LOC127062648; LOC127062342	transcription elongation factor SPT6-like	NCBI: vv_genetable.csv	2	1	LOC107071010	Spt6	transcription elongation factor Spt6	NCBI: pd_genetable.csv	1	1	ENSANRG00005010829	Spt6; LOC127062342; LOC127062648	transcription elongation factor Spt6; transcription elongation factor SPT6-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	3	1	1.73611111111111	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000616	OG0000462	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	mitochondrial pyruvate carrier 2-like	weighted recurring annotation	mitochondrial pyruvate carrier 2-like	1	LOC127066389	LOC127066389	mitochondrial pyruvate carrier 2-like	NCBI: vv_genetable.csv	1	1	LOC107073097	LOC107073097	mitochondrial pyruvate carrier 2-like	NCBI: pd_genetable.csv	1	2	ENSANRG00005006106; ENSANRG00005004070	LOC107073097; LOC127066389	mitochondrial pyruvate carrier 2-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	3	1	1.76056338028169	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000630	OG0000476	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Arginine kinase 1	weighted recurring annotation	Arginine kinase 1	1	LOC127068499	Argk1	Arginine kinase 1	NCBI: vv_genetable.csv	1	1	LOC107072534	Argk1	Arginine kinase 1	NCBI: pd_genetable.csv	1	2	ENSANRG00005007083; ENSANRG00005003426	Argk1	Arginine kinase 1	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	6	1	1.72222222222222	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000639	OG0000485	n0	1	0.0382239	significantly expanded	TRUE	TRUE	FALSE	FALSE	1	0.0713452	expanded	TRUE	FALSE	FALSE	FALSE	0	0.589724	unchanged	FALSE	FALSE	FALSE	FALSE	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like	3	LOC127062553; LOC127062212; LOC127062551	LOC127062553; LOC127062212; LOC127062551	fatty acid synthase-like	NCBI: vv_genetable.csv	3	2	LOC107073675; LOC107073738	LOC107073675; LOC107073738	fatty acid synthase-like	NCBI: pd_genetable.csv	2	0					0	11	1	4.06666666666667	10	FALSE	TRUE	FALSE		FALSE
N0.HOG0000647	OG0000493	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	homeobox protein abdominal-A homolog / homeobox protein rough-like	weighted recurring annotation	homeobox protein abdominal-A homolog; homeobox protein rough-like	2	LOC127063325; LOC127063215	LOC127063325; LOC127063215	homeobox protein abdominal-A homolog; homeobox protein rough-like	NCBI: vv_genetable.csv	2	1	LOC107065735	LOC107065735	homeobox protein abdominal-A homolog	NCBI: pd_genetable.csv	1	3	ENSANRG00005009382; ENSANRG00005008898; ENSANRG00005009155	LOC127063215	homeobox protein rough-like	OrthoFinder orthology transfer from: Vespula_vulgaris	1	4	1	1.69444444444444	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000649	OG0000495	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	nuclear RNA export factor 1-like	weighted recurring annotation	nuclear RNA export factor 1-like	2	LOC127068003; LOC127066492	LOC127068003; LOC127066492	nuclear RNA export factor 1-like	NCBI: vv_genetable.csv	2	2	LOC107065672; LOC107072859	LOC107065672; LOC107072859	nuclear RNA export factor 1-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005004740	LOC107072859; LOC127066492; LOC127068003	nuclear RNA export factor 1-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	18	1	1.72857142857143	17	FALSE	TRUE	FALSE		FALSE
N0.HOG0000656	OG0000502	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	myb-like protein X / Domain present in PSD-95, Dlg, and ZO-1/2.	weighted recurring annotation	Domain present in PSD-95, Dlg, and ZO-1/2.; myb-like protein X; myb-like protein X; Domain present in PSD-95, Dlg, and ZO-1/2.	1	LOC127066821	LOC127066821	Domain present in PSD-95, Dlg, and ZO-1/2.	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107067064	LOC107067064	myb-like protein X	NCBI: pd_genetable.csv	1	2	ENSANRG00005007018; ENSANRG00005007037	CG15247; LOC107067064; LOC127066821	myb-like protein X; Domain present in PSD-95, Dlg, and ZO-1/2.	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	2	5	1	1.59722222222222	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000686	OG0000526	n54	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	NADPH-dependent diflavin oxidoreductase 1-like; Equilibrative nucleoside transporter 2	weighted recurring annotation	NADPH-dependent diflavin oxidoreductase 1-like; Equilibrative nucleoside transporter 2	0					0	0					0	1	ENSANRG00005010905	LOC107065505; Ent2	NADPH-dependent diflavin oxidoreductase 1-like; Equilibrative nucleoside transporter 2	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	6	1	1.14285714285714	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000704	OG0000541	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000706	OG0000542	n0	0	0.537541	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.0694384	contracted	FALSE	FALSE	TRUE	FALSE	0	0.533026	unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		1	LOC127064882	LOC127064882		NCBI: vv_genetable.csv	1	0					0	1	ENSANRG00005004723				0	32	1	4.33333333333333	31	FALSE	TRUE	FALSE		FALSE
N0.HOG0000725	OG0000559	n111	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	2	1	1.5	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000733	OG0000567	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Cbl-associated protein / sorbin and SH3	weighted recurring annotation	Cbl-associated protein; sorbin and SH3	1	LOC127064954	CAP	Cbl-associated protein	NCBI: vv_genetable.csv	1	2	LOC107070650; LOC107070648	LOC107070650; CAP	sorbin and SH3; Cbl-associated protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	2	0					0	5	1	1.57746478873239	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000740	OG0000573	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	sickie	weighted recurring annotation	sickie	1	LOC127061519	sick	sickie	NCBI: vv_genetable.csv	1	1	LOC107073601	sick	sickie	NCBI: pd_genetable.csv	1	3	ENSANRG00005004220; ENSANRG00005004345; ENSANRG00005003425	sick	sickie	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	6	1	1.58571428571429	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000742	OG0000575	n0	-1	0.152043	contracted	FALSE	FALSE	TRUE	FALSE	0	0.586917	unchanged	FALSE	FALSE	FALSE	FALSE	-2	0.000702257	significantly contracted	FALSE	FALSE	TRUE	TRUE	unannotated HOG	no usable local annotation		0					0	0					0	3	ENSANRG00005001443; ENSANRG00005009186; ENSANRG00005010129				0	10	1	3.64516129032258	9	FALSE	TRUE	FALSE		FALSE
N0.HOG0000747	OG0000580	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	24	1	2.76923076923077	23	FALSE	TRUE	FALSE		FALSE
N0.HOG0000753	OG0000584	n8	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Peroxiredoxin 2 / peroxiredoxin-2-like	weighted recurring annotation	Peroxiredoxin 2; peroxiredoxin-2-like	2	LOC127068336; LOC127062749	Prx2; LOC127062749	Peroxiredoxin 2; peroxiredoxin-2-like	NCBI: vv_genetable.csv	2	2	LOC107072671; LOC107070219	Prx2; LOC107070219	Peroxiredoxin 2; peroxiredoxin-2-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005001709	Prx2	Peroxiredoxin 2	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	3	1	1.44444444444444	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000764	OG0000592	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	juvenile hormone epoxide hydrolase 1-like	weighted recurring annotation	juvenile hormone epoxide hydrolase 1-like	2	LOC127065482; LOC127065481	LOC127065482; LOC127065481	juvenile hormone epoxide hydrolase 1-like	NCBI: vv_genetable.csv	2	1	LOC107072381	LOC107072381	juvenile hormone epoxide hydrolase 1-like	NCBI: pd_genetable.csv	1	2	ENSANRG00005010651; ENSANRG00005010505	LOC107072381; LOC127065481; LOC127065482	juvenile hormone epoxide hydrolase 1-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	7	1	1.60869565217391	6	FALSE	TRUE	FALSE		FALSE
N0.HOG0000765	OG0000593	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	stem cell tumor	weighted recurring annotation	stem cell tumor	1	LOC127061541	stet	stem cell tumor	NCBI: vv_genetable.csv	1	1	LOC107073279	stet	stem cell tumor	NCBI: pd_genetable.csv	1	1	ENSANRG00005007759	stet	stem cell tumor	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	4	1	1.54166666666667	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000775	OG0000602	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	vacuolar protein sorting 28	weighted recurring annotation	vacuolar protein sorting 28	1	LOC127062426	Vps28	vacuolar protein sorting 28	NCBI: vv_genetable.csv	1	1	LOC107064149	Vps28	vacuolar protein sorting 28	NCBI: pd_genetable.csv	1	2	ENSANRG00005008485; ENSANRG00005007926				0	4	1	1.52777777777778	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000780	OG0000607	n1	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	alpha/beta hydrolase domain-containing protein 17B / Alpha/beta hydrolase family	weighted recurring annotation	alpha/beta hydrolase domain-containing protein 17B; Alpha/beta hydrolase family	2	LOC127070350; LOC127070352	LOC127070350; LOC127070352	alpha/beta hydrolase domain-containing protein 17B; Alpha/beta hydrolase family	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	2	LOC107071525; LOC107071517	LOC107071525; LOC107071517	alpha/beta hydrolase domain-containing protein 17B; Alpha/beta hydrolase family	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	1	ENSANRG00005008544	CG33096; LOC107071525; LOC127070350	alpha/beta hydrolase domain-containing protein 17B	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	2	1	1.12676056338028	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000783	OG0000609	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Multi drug resistance 49	weighted recurring annotation	Multi drug resistance 49	0					0	0					0	1	ENSANRG00005005989	CG10226; Mdr49	Multi drug resistance 49	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	5	1	2.25	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000797	OG0000621	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	IgA FC receptor-like / CDK2-associated protein 1	weighted recurring annotation	CDK2-associated protein 1; cyclin-dependent kinase 2-associated protein 1-like; IgA FC receptor-like; IgA FC receptor-like; CDK2-associated protein 1	1	LOC127064801	CDK2AP1	CDK2-associated protein 1	NCBI: vv_genetable.csv	1	2	LOC107066063; LOC107066104	LOC107066063; LOC107066104	cyclin-dependent kinase 2-associated protein 1-like; IgA FC receptor-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005008627	CG15142; LOC107066104; CDK2AP1	IgA FC receptor-like; CDK2-associated protein 1	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	3	1	1.71428571428571	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000814	OG0000632	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	2		expanded	TRUE	FALSE	FALSE	FALSE	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	weighted recurring annotation	estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6; short-chain dehydrogenase/reductase family 16C member 6-like; short-chain dehydrogenase/reductase family 16C member 6-like; estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	4	LOC127068287; LOC127068288; LOC127068286; LOC127071340	LOC127068287; LOC127068288; LOC127068286; LOC127071340	estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	NCBI: vv_genetable.csv	4	1	LOC107072132	LOC107072132	short-chain dehydrogenase/reductase family 16C member 6-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005010059	CG9265; LOC107072132; LOC127068286; LOC127068287; LOC127068288; LOC127071340	short-chain dehydrogenase/reductase family 16C member 6-like; estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	5	1	1.48611111111111	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000821	OG0000636	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	CG1941; CG1946 / CG1941 / CG1946	symbol fallback	CG1941; CG1946; CG1941; CG1946	0					0	0					0	1	ENSANRG00005000523	CG1941; CG1946		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	10	1	1.85964912280702	9	FALSE	TRUE	FALSE		FALSE
N0.HOG0000826	OG0000641	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	dachshund	weighted recurring annotation	dachshund	1	LOC127069452	dac	dachshund	NCBI: vv_genetable.csv	1	1	LOC107064706	dac	dachshund	NCBI: pd_genetable.csv	1	2	ENSANRG00005004709; ENSANRG00005005395	dac	dachshund	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	6	1	1.48611111111111	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000836	OG0000649	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	actin family	conservative keyword family rule	coiled-coil domain-containing protein CG32809; Actin interacting protein 3; Actin interacting protein 3; coiled-coil domain-containing protein CG32809	2	LOC127069305; LOC127069304	LOC127069305; LOC127069304	coiled-coil domain-containing protein CG32809	NCBI: vv_genetable.csv	2	1	LOC107072433	LOC107072433	Actin interacting protein 3	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	ENSANRG00005009514	CG32809; LOC107072433; LOC127069304; LOC127069305	Actin interacting protein 3; coiled-coil domain-containing protein CG32809	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	4	1	1.45714285714286	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000837	OG0000650	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	daughterless / transcription factor 12-like	weighted recurring annotation	transcription factor 12-like; POU domain, class 4, transcription factor 1; daughterless; daughterless; transcription factor 12-like	1	LOC127066342	LOC127066342	transcription factor 12-like	NCBI: vv_genetable.csv	1	2	LOC107064326; LOC107064324	LOC107064326; da	POU domain, class 4, transcription factor 1; daughterless	NCBI: pd_genetable.csv	2	1	ENSANRG00005002588	da; LOC127066342	daughterless; transcription factor 12-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	4	1	1.45070422535211	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000848	OG0000659	n13	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	period circadian protein / ecdysone receptor	weighted recurring annotation	period circadian protein; ecdysone receptor-like; ecdysone receptor	2	LOC127065083; LOC127065074	LOC127065083; LOC127065074	period circadian protein; ecdysone receptor-like	NCBI: vv_genetable.csv	2	1	LOC107063663	Ecr	ecdysone receptor	NCBI: pd_genetable.csv	1	1	ENSANRG00005009083	LOC127065083	period circadian protein	OrthoFinder orthology transfer from: Vespula_vulgaris	1	2	1	1.26388888888889	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000849	OG0000660	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	TWiK family of potassium channels protein 18 / TWiK family of potassium channels protein 18-like	weighted recurring annotation	TWiK family of potassium channels protein 18-like; TWiK family of potassium channels protein 18	1	LOC127069924	LOC127069924	TWiK family of potassium channels protein 18-like	NCBI: vv_genetable.csv	1	1	LOC107066761	LOC107066761	TWiK family of potassium channels protein 18	NCBI: pd_genetable.csv	1	0					0	19	1	1.53731343283582	18	FALSE	TRUE	FALSE		FALSE
N0.HOG0000858	OG0000669	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	geminin DNA replication inhibitor / geminin-like	weighted recurring annotation	geminin DNA replication inhibitor; geminin-like; geminin-like; geminin DNA replication inhibitor	1	LOC127061383	geminin	geminin DNA replication inhibitor	NCBI: vv_genetable.csv	1	2	LOC107072921; LOC107072927	LOC107072921; geminin	geminin-like; geminin DNA replication inhibitor	NCBI: pd_genetable.csv	2	1	ENSANRG00005007001	LOC107072921; geminin	geminin-like; geminin DNA replication inhibitor	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	4	1	1.45070422535211	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000865	OG0000674	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	slit homolog 1 protein-like / AF4/FMR2 family member 4-like	weighted recurring annotation	leucine-rich repeat and immunoglobulin-like domain containing-NOGO receptor-interacting protein 4; protein no-on-transient A-like; slit homolog 1 protein-like; AF4/FMR2 family member 4-like; AF4/FMR2 family member 4-like; slit homolog 1 protein-like; leucine-rich repeat and immunoglobulin-like domain containing-NOGO receptor-interacting protein 4; protein no-on-transient A-like	2	LOC127066242; LOC127066245	LOC127066242; LOC127066245	leucine-rich repeat and immunoglobulin-like domain containing-NOGO receptor-interacting protein 4; protein no-on-transient A-like	NCBI: vv_genetable.csv	2	2	LOC107068709; LOC107068647	LOC107068709; LOC107068647	slit homolog 1 protein-like; AF4/FMR2 family member 4-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005000748	LOC107068647; LOC107068709; LOC127066242; LOC127066245	AF4/FMR2 family member 4-like; slit homolog 1 protein-like; leucine-rich repeat and immunoglobulin-like domain containing-NOGO receptor-interacting protein 4; protein no-on-transient A-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	2	1	1.43055555555556	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000876	OG0000679	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	transmembrane protein KIAA1109 homolog tweek	weighted recurring annotation	transmembrane protein KIAA1109 homolog tweek	1	LOC127069265	tweek	transmembrane protein KIAA1109 homolog tweek	NCBI: vv_genetable.csv	1	1	LOC107073866	tweek	transmembrane protein KIAA1109 homolog tweek	NCBI: pd_genetable.csv	1	3	ENSANRG00005009825; ENSANRG00005009767; ENSANRG00005009794	tweek	transmembrane protein KIAA1109 homolog tweek	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	6	1	1.3943661971831	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000878	OG0000681	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000881	OG0000683	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	adaptor protein complex 1, mu subunit	weighted recurring annotation	adaptor protein complex 1, mu subunit	1	LOC127069089	AP-1mu	adaptor protein complex 1, mu subunit	NCBI: vv_genetable.csv	1	1	LOC107071645	AP-1mu	adaptor protein complex 1, mu subunit	NCBI: pd_genetable.csv	1	1	ENSANRG00005001968	AP-1mu	adaptor protein complex 1, mu subunit	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	3	1	1.40277777777778	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000892	OG0000694	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	1	ENSANRG00005008985				0	2	1	1.03703703703704	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000894	OG0000695	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Ecdysone-induced protein E74	weighted recurring annotation	Ecdysone-induced protein E74	1	LOC127068243	Eip74EF	Ecdysone-induced protein E74	NCBI: vv_genetable.csv	1	1	LOC107069712	Eip74EF	Ecdysone-induced protein E74	NCBI: pd_genetable.csv	1	1	ENSANRG00005009925	Eip74EF	Ecdysone-induced protein E74	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	5	1	1.40277777777778	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000898	OG0000699	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	zinc-finger protein family	conservative keyword family rule	zinc finger protein rotund-like	1	LOC127064464	LOC127064464	zinc finger protein rotund-like	NCBI: vv_genetable.csv	1	2	LOC107068048; LOC107068165	LOC107068048; LOC107068165	zinc finger protein rotund-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005008974				0	6	1	1.40277777777778	5	FALSE	TRUE	FALSE		FALSE
